Numero_Match;Saison;Date;Resultat;Joueur;Masse_Salariale;Minutes;Salaire_Par_Minute
28;2021-2022;2022-03-06;Victoire;Matthijs de Ligt;70;90;70
28;2021-2022;2022-03-06;Victoire;Danilo;15;90;15
28;2021-2022;2022-03-06;Victoire;Wojciech Szczesny;15;90;15
29;2021-2022;2022-03-12;Victoire;�lvaro Morata;30;90;30
29;2021-2022;2022-03-12;Victoire;Moise Kean;28;64;19.911
29;2021-2022;2022-03-12;Victoire;Dusan Vlahovic;85;26;24.556
29;2021-2022;2022-03-12;Victoire;Adrien Rabiot;18;74;14.8
29;2021-2022;2022-03-12;Victoire;Alex Sandro;9;16;1.6
29;2021-2022;2022-03-12;Victoire;Juan Cuadrado;10;90;10
29;2021-2022;2022-03-12;Victoire;Arthur Melo;20;90;20
29;2021-2022;2022-03-12;Victoire;Manuel Locatelli;35;90;35
29;2021-2022;2022-03-12;Victoire;Luca Pellegrini;8;84;7.467
29;2021-2022;2022-03-12;Victoire;Mattia De Sciglio;6;6;0.4
29;2021-2022;2022-03-12;Victoire;Daniele Rugani;3.5;90;3.5
29;2021-2022;2022-03-12;Victoire;Matthijs de Ligt;70;90;70
29;2021-2022;2022-03-12;Victoire;Danilo;15;90;15
29;2021-2022;2022-03-12;Victoire;Wojciech Szczesny;15;90;15
