Numero_Match,Saison,Date,Resultat,Masse_Salariale
1,2019-2020,2019-08-24,Victoire,287.333
2,2019-2020,2019-08-31,Victoire,366.111
3,2019-2020,2019-09-14,Défaite,349.939
4,2019-2020,2019-09-21,Victoire,317.017
5,2019-2020,2019-09-24,Victoire,375.283
6,2019-2020,2019-09-28,Victoire,364.922
7,2019-2020,2019-10-06,Victoire,401.644
8,2019-2020,2019-10-19,Victoire,352.267
9,2019-2020,2019-10-26,Nul,404,367
10,2019-2020,2019-10-30,Victoire,314.333
11,2019-2020,2019-11-02,Victoire,384.233
12,2019-2020,2019-11-10,Victoire,396.967
13,2019-2020,2019-11-23,Victoire,364.950
14,2019-2020,2019-12-01,Nul,385,861
15,2019-2020,2019-12-07,Défaite,415.200
16,2019-2020,2019-12-15,Victoire,306.911
17,2019-2020,2019-12-18,Victoire,339.594
18,2019-2020,2020-01-06,Victoire,371.361
19,2019-2020,2020-01-12,Victoire,399.600
20,2019-2020,2020-01-19,Victoire,397.111
21,2019-2020,2020-01-26,Défaite,415.489
22,2019-2020,2020-02-02,Victoire,413.256
23,2019-2020,2020-02-08,Défaite,415.328
24,2019-2020,2020-02-16,Victoire,321.556
25,2019-2020,2020-02-22,Victoire,356.233
26,2019-2020,2020-03-08,Victoire,374.628
27,2019-2020,2020-06-02,Victoire,407.394
28,2019-2020,2020-06-26,Victoire,406.714
29,2019-2020,2020-06-30,Victoire,407.623
30,2019-2020,2020-07-04,Victoire,369.850
31,2019-2020,2020-07-07,Défaite,319.124
32,2019-2020,2020-07-11,Nul,383.939
33,2019-2020,2020-07-15,Nul,387.711
34,2019-2020,2020-07-20,Victoire,412.533
35,2019-2020,2020-07-23,Défaite,413.133
36,2019-2020,2020-07-26,Victoire,382.167
37,2019-2020,2020-07-29,Défaite,271.840
38,2019-2020,2020-08-01,Défaite,158.292
